url,name,main_location,asociate_location,type,description,price,feats,address,neighborhood,characteristics
https://fincaraiz.com.co/inmueble/apartamento-en-venta/chapinero/bogota/10176068,apartamento en venta,"chapinero - bogotá - bogotá, d.c.","chapinero, chapinero norte, chapinero central, bogotá, zona chapinero, bogotá, d.c.",usado · destacado,"apartaestudio listo para habitar. tiene espacio para construir un mezzanine de media altura y de 7m2. se vende sin el mezzanine a este precio pero puede venderse con el mezzanine determinando un precio para el diseño que hay. para arriendo, se arrienda con el mezzanine construido y con calentador de agua. se puede arrendar amoblado con los muebles que se negocien. el edificio cuenta con zona comunal de lavandería, espacios para coworking, espacios para reuniones, una terraza con bbq y vistas privilegiadas. vigilancia 24h.", precio total (cop) $ 250.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '1'}, {'baños': '1'}, {'área construída': '19,5 m²'}, {'área privada': '18 m²'}, {'estrato': '4'}, {'antigüedad': 'menor a 1 año'}, {'piso n°': '2'}, {'administración': '$ 277.000 cop'}, {'precio m²': '$ 12.820.512,82*m²'}, {'tipo de apartamento': 'loft'}]",avenida calle 63 # 9 - 40,chapinero - bogotá,
https://fincaraiz.com.co/proyecto-de-vivienda/catalana/altamira/medellin/10093824,catalana,altamira - medellín - antioquia,"altamira, bosques de san pablo, medellín, robledo, noroccidente, antioquia",proyecto · destacado,"catalana ubicado a tan solo una cuadra del hospital pablo tobón uribe.el proyecto tiene una ubicación estratégica, el cual está rodeado de importantes instituciones de la ciudad como son: el hospital pablo tobón uribe. la clínica universitaria bolivariana, la escuela ciencias de la salud de la upb, la clínica cardio vid y el tecnológico de antioquia entre otras, lo que permite una gran valorización en el tiempo.el precio del apartamento incluye parqueadero y cuarto útil.", desde (cop) $ 457.373.278 hasta (cop) $ 529.495.381 ¿te interesó este proyecto? información legal reportar anuncio,"['', {'estrato': '4'}, {'estado': 'en construcción'}]",cl 78b # 72a - 14,altamira - medellín,"
características del exterior
ascensor
garaje / parqueadero(s)
gimnasio
portería / vigilancia
salón comunal
zona infantil
características del interior
balcón
baño auxiliar
comedor
características del sector
bombas de gasolina
cerca centro comercial
colegios / universidades
cómodas vias de acceso
restaurantes
seguridad
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/apartamento-en-venta/paraiso/cartagena/8208292,apartamento en venta,paraiso - cartagena - bolívar,"paraiso, paraiso, bruselas, conjunto residencial los tamarindos, amberes, cartagena, comuna 09, comuna 03 - loc historica y del caribe norte, zona histórica y del caribe norte, bolívar, bolivar",inmobiliaria · destacado,2 hab 2 baños balcon cocina zona de labores cuarto y baño de servicio 78mtrs 665-2255., precio total (cop) $ 220.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '2'}, {'baños': '2'}, {'área construída': '78 m²'}, {'área privada': '78 m²'}, {'estrato': '3'}, {'antigüedad': '16 a 30 años'}, {'administración': 'no definida'}, {'precio m²': '$ 2.820.512,82*m²'}]",preguntar al anunciante,paraiso - cartagena,
https://fincaraiz.com.co/inmueble/apartamento-en-venta/chico-norte/bogota/7554385,apartamento en venta,chico norte - bogotá - cundinamarca,"chico norte, chicó navarra, navarra, santa bibiana, san patricio, estoril, bogotá, usaquen, suba, zona chapinero, zona norte, cundinamarca, bogotá, d.c.",inmobiliaria,"apartamento con buena ubicación, cerca a estación de transmilenio, buenas vías de acceso, exterior en sexto piso, tiene tres habitaciones, hall de alcobas, tres baños, sala comedor, hall de tv, baño social, balcón, cocina integral a gas, zona de lavandería independiente, cuarto y baño servicio, calentador a gas, citofono, pisos en madera, dos parqueaderos independientes cubiertos. el edificio cuenta con ascensor, dos parqueaderos para visitantes. vigilancia 24 horas. 1189-754.", precio total (cop) $ 850.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}]",preguntar al anunciante,chico norte - bogotá,"
características del exterior
ascensor
circuito cerrado de tv
en zona residencial
garaje / parqueadero(s)
parqueadero visitantes
portería / recepción
portería / vigilancia
salón comunal
ubicada en edificio
vigilancia 24x7
vigilancia privada 24*7
características del interior
baño auxiliar
citófono
closet
cocina integral
comedor
depósito / bodega
hall de alcobas
instalación de gas


ventilación natural
zona de lavandería
características del sector
área urbana
bombas de gasolina
cerca a sector comercial
cerca centro comercial
colegios / universidades
cómodas vias de acceso
parques cercanos
restaurantes
sobre vía secundaria
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/apartamento-en-venta/castillo-grande/cartagena/7986640,apartamento en venta,castillo grande - cartagena - bolívar,"castillo grande, castillogrande, boca grande, cartagena, comuna 01, comuna 03 - loc historica y del caribe norte, bolívar, bolivar",inmobiliaria · destacado,"en cartagena se vende y/o permuta lujoso apartamento en el barrio residencial de castillogrande, lugar de mayor exclusividad y valorización del metro cuadrado en cartagena . el apartamento cuenta con un amplio balcón , 3 habitaciones cada una con su baño, baño auxiliar, sala, comedor, cocina integral, cuarto y baño del servicio, zona de labores, 2 parqueaderos y un depósito. amenities; piscina con vista panorámica zona húmeda bbq salon social con hermosa vista gimnasio parque infantil planta eléctrica de cobertura total vigilancia 24 horas lobby doble altura por su excelente ubicación se encuentra a 1 cuadra de la playa de castillogrande y a 1 cuadra del paseo peatonal de la bahía, a solo 15 minutos del centro histórico, cerca a supermercados, hospitales, colegios, bancos, etc. .", precio total (cop) $ 1.300.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '3'}, {'parqueaderos': '2'}, {'área construída': '166 m²'}, {'área privada': '166 m²'}, {'estrato': '6'}, {'antigüedad': '9 a 15 años'}, {'piso n°': '4'}, {'administración': '$ 700.000 cop'}, {'precio m²': '$ 7.831.325,3*m²'}]",preguntar al anunciante,castillo grande - cartagena,"
características del exterior
acceso pavimentado
árboles frutales
ascensor
canchas deportivas
garaje / parqueadero(s)
garaje(s)
gimnasio
parqueadero visitantes
piscina
planta eléctrica
portería / recepción
vigilancia
vista panorámica
zona infantil
zonas verdes
características del interior
aire acondicionado
balcón
baño auxiliar
baño independiente


cocina integral
con casa club
cuarto de servicio
depósito / bodega
hall de alcobas
instalación de gas
zona de lavandería
características del sector
colegios / universidades
parques cercanos
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/casa-campestre-en-venta/el-carmen/dagua/8079270,casa campestre en venta,el carmen - dagua - valle del cauca,"el carmen, dagua, valle del cauca",inmobiliaria,"finca en parcelación campestre el carmelo. venta a puerta cerrada. terreno de 3 368 m2 con una casa construida de 220 m2. consta de dos pisos, 4 habitaciones, 3 baños, cocina integral, zona de oficios, sala comedor, buena iluminación. corredores externos amplios, jardines, piscina. clima fresco, altitud ideal para todo tipo de cultivos de pancoger y árboles frutales, excelente vista. en parcelación con excelente infraestructura: 3 porterías, bosques nativos, zonas infantiles, lago, muelle, canchas, capilla, kioskos, sendero ecológico, río, alumbrado público, vías internas, servicios de energía, agua, internet. excelente ubicación a sólo 15 minutos de borrero ayerbe y menos de 1 hora desde la portada. .", precio total (cop) $ 400.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '4'}, {'baños': '3'}, {'parqueaderos': '4'}, {'área construída': '220 m²'}, {'área privada': '0 m²'}, {'estrato': 'campestre'}, {'antigüedad': '16 a 30 años'}, {'piso n°': '2'}, {'administración': '$ 186.500 cop'}, {'precio m²': '$ 1.818.181,82*m²'}]",preguntar al anunciante,el carmen - dagua,
https://fincaraiz.com.co/inmueble/apartamento-en-venta/niza/cucuta/7929572,apartamento en venta,niza - cúcuta - norte santander,"niza, niza, aguas calientes, cúcuta, sur oriental, norte santander, norte de santander",inmobiliaria,"apartamento en segundo nivel listo para estrenar. consta de sala, comedor, ventanal, cocina integral, gas natural, patio de ropas, estar, (3) alcobas con closet y ventanal, principal con baño privado + (1) baño auxiliar, pisos en porcelanato, luces leds. excelente ubicación en zona residencial con cómodas vías de acceso, supermercados, locales comerciales, farmacias, restaurantes, parques, centros comerciales y medios de transporte cercanos..", precio total (cop) $ 170.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '2'}, {'parqueaderos': '1'}, {'área construída': '69 m²'}, {'área privada': '69 m²'}, {'estrato': '3'}, {'estado': 'bueno'}, {'antigüedad': '1 a 8 años'}, {'administración': 'no definida'}, {'precio m²': '$ 2.463.768,12*m²'}]",preguntar al anunciante,niza - cúcuta,
https://fincaraiz.com.co/inmueble/apartamento-en-venta/chico-navarra/bogota/10080976,apartamento en venta,"navarra - bogotá - bogotá, d.c.","chicó navarra, san patricio, santa bibiana, navarra, bogotá, usaquen, zona norte, bogotá, d.c.",inmobiliaria,"el deseo de tener el hogar de tus sueños inicia hoy. tenemos para ti un hermoso apartamento con espacios amplios e iluminados, cuenta con sala comedor, balcón, estudio, baño social, cocina integral cerrada, zona de lavandería, dos habitaciones, habitación principal con baño privado, tres baños en total. buena ubicación, cerca de avenidas principales, centros comerciales, zonas verdes. te ves viviendo aquí, hazlo real! te acompañamos en este gran viaje!.", precio total (cop) $ 870.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '2'}, {'baños': '3'}, {'parqueaderos': '2'}, {'área construída': '132 m²'}, {'área privada': '0 m²'}, {'estrato': '6'}, {'antigüedad': '16 a 30 años'}, {'piso n°': '3'}, {'administración': '$ 844.200 cop'}, {'precio m²': '$ 6.590.909,09*m²'}]",preguntar al anunciante,chicó navarra - bogotá,"
características del exterior
ascensor
garaje(s)
portería / recepción
características del interior
balcón
chimenea
citófono
cocina integral
depósito / bodega
estudio
hall de alcobas
zona de lavandería
características del sector
parques cercanos
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/apartamento-en-venta/nuevo-monterrey/bogota/10128749,apartamento en venta,"santa rosa - bogotá - bogotá, d.c.","nuevo monterrey, santa rosa, morato, bogotá, suba, zona noroccidente, bogotá, d.c.",inmobiliaria,"apto ubicado en el conjunto residencial portal de pontevedra iv, inmueble con disposición esquinera con las siguientes dependencias: sala, comedor, estudio, estar de televisión, cocina, zona de ropas, 2 habitaciones auxiliares , habitación principal con baño. 2 garaje sencillos cubierto y deposito.", precio total (cop) $ 579.100.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '3'}, {'baños': '2'}, {'parqueaderos': '2'}, {'área construída': '88,39 m²'}, {'área privada': '0 m²'}, {'estrato': '4'}, {'antigüedad': '9 a 15 años'}, {'piso n°': '1'}, {'administración': '$ 446.800 cop'}, {'precio m²': '$ 6.551.646,11*m²'}, {'tipo de apartamento': 'loft'}]",preguntar al anunciante,nuevo monterrey - bogotá,"
características del exterior
ascensor
circuito cerrado de tv
parqueadero visitantes
portería / recepción
salón comunal
vigilancia
zonas verdes
características del interior
baño auxiliar
calentador
citófono
cocina integral
depósito / bodega
estudio
hall de alcobas
instalación de gas
zona de lavandería
características del sector
colegios / universidades
parques cercanos
supermercados / c.comerciales
trans. público cercano
zona residencial"
https://fincaraiz.com.co/inmueble/apartamento-en-venta/vereda-la-balsa/chia/8195738,apartamento en venta,vereda la balsa - chía - cundinamarca,"vereda la balsa, la caldera del diablo, vereda la balsa, las juntas, la balsa, chía, cundinamarca",inmobiliaria,"favor no comisionistas. iluminado, moderno y acogedor apartamento dentro de un reservado, silencioso y tranquilo sector, ideal para quienes buscan apartarse del ruido y la agitación de la ciudad . cuenta con una alcoba, un baño, sala con amplios ventanales conectados a vegetación, cocina abierta integrada, zona de ropas, depósito y un garaje. el conjunto cuenta con piscina, zonas húmedas, gimnasio, salón comunal, ascensor, jardines, parqueadero de visitantes y estricta vigilancia. ubicado en vereda la balsa. .", precio total (cop) $ 300.000.000 ¿te interesó este inmueble? reportar anuncio,"['', {'habitaciones': '1'}, {'baños': '1'}, {'parqueaderos': '1'}, {'área construída': '40 m²'}, {'área privada': '0 m²'}, {'estrato': '3'}, {'antigüedad': '1 a 8 años'}, {'piso n°': '3'}, {'administración': '$ 285.000 cop'}, {'precio m²': '$ 7.500.000*m²'}]",preguntar al anunciante,vereda la balsa - chía,"
características del exterior
árboles frutales
ascensor
circuito cerrado de tv
en conjunto cerrado
garaje / parqueadero(s)
garaje(s)
gimnasio
jardín
parqueadero visitantes
piscina
planta eléctrica
portería / recepción
salón comunal
vigilancia
zonas verdes
características del interior
amoblado
baño independiente
calentador
citófono


cocina tipo americano
con casa club
depósito / bodega
zona de lavandería
características del sector
colegios / universidades
parques cercanos
trans. público cercano
zona campestre"
