url,name,main_location,description,price,feats,neighborhood,antiquity,built_area,privated_area
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-3-habitaciones-3-banos-1-garajes/314-M4406062,"Apartamento en Venta, Cabecera Del Llano",Bucaramanga,"Se vende apartamento en el edificio Colina del Llano, ubicado en la cra 39a, del barrio Cabecera del Llano. ubicado en el piso 8 de la torre, , el cual consta de tres alcobas, la principal con vestier y baño privando, dos alcobas auxiliares, baño auxiliar, sala comedor, cocina integral, zona de ropas y alcoba de servicio de baño. parqueadero, ascensor, portería 24 horas.",$450.000.000,"['Valor administración\n$394.000', 'Parqueaderos\n1', {'Interiores': 'Cuarto de servicio Instalación de gas ninguno Tipo de cocina lineal Tipo de comedor sala comedor Tipo acabado de piso otro Tipo de piso en alcobas otro Tipo de piso en comedor otro Tipo de piso en estudio otro Tipo de piso en sala otro ', 'Exteriores': 'Cuarto de servicio Instalación de gas ninguno Tipo de cocina lineal  Conjunto cerrado Vigilancia 0 ', 'Zonas comunes': '', 'Del sector': ''}, '3\nHabitaciones', '3\nBaños', '6\nEstrato']",Cabecera Del Llano,Más de 20 años,113.88 m²,113.88 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-comuneros-1-habitaciones-1-banos-1-garajes/12693-M4579510,"Apartamento en Venta, Comuneros",Bucaramanga,Apartaestudio en Venta en Edificio Triverde Comuneros San Francisco Bucaramanga Santander Contacto Directo,$110.000.000,"['Valor administración\n$43.000', 'Parqueaderos\n1', {'Interiores': 'Baño auxiliar Citófonos Cocina integral Vigilancia Zona de lavandería Piso 5 ', 'Exteriores': 'Baño auxiliar Citófonos  Baños de servicio Circuito cerrado de TV Conjunto cerrado ', 'Zonas comunes': 'Baños de servicio  Gimnasio ', 'Del sector': 'Cerca colegios / universidades Cerca parques Cerca transporte público Zona residencial '}, '1\nHabitaciones', '1\nBaños', '3\nEstrato']",Comuneros,Entre 5 y 10 años,30 m²,30 m²
https://www.metrocuadrado.com/inmueble/venta-casa-bucaramanga-pan-de-azucar-5-habitaciones-5-banos-2-garajes/223-11702,"Casa en Venta, Altos de pan de azucar",Bucaramanga,"hermosa casa amplia con terraza y zona BBQ, con 5 habitaciones muy amplias, 5 baños, garaje para 3 vehiculos, zona de ropas,",$1.250.000,"['Parqueaderos\n2', {'Interiores': 'Estudio o biblioteca Equipado / amoblado no Tipo de casa tradicional Tipo de parqueadero independiente ', 'Exteriores': 'Estudio o biblioteca Equipado / amoblado no Vigilancia 0 ', 'Zonas comunes': '', 'Del sector': ''}, '5\nHabitaciones', '5\nBaños', '6\nEstrato']",Altos de pan de azucar,Remodelado,400 m²,400 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-provenza-5-habitaciones-2-banos-1-garajes/223-M2329742,"Apartamento en Venta, PROVENZA",Bucaramanga,"Se vende Hermoso Apartamento ubicado en Provenza, cuenta con 5 Habitaciones la pricipal con Baño privado y 4 de estas con sus recpectivos closet, sala comedo, Garaje, dos Patios, baño auxiliar y cocina semi-integral.",$260.000.000,"['Parqueaderos\n1', {'Interiores': 'Apto para niños Tipo de cortinas ninguna Parqueadero cubierto Zona de lavandería Instalación de gas natural Closets 4 Piso 1 Calentador no tiene Tipo de cocina lineal Tipo de comedor sala comedor Deposito 0 Tipo de estufa gas Tipo de parqueadero independiente Tipo acabado de piso cerámica Tipo de piso en alcobas cerámica Tipo de piso en comedor cerámica ', 'Exteriores': ' Número de Ascensores 0 Terraza/Balcón ninguno Vigilancia 0 ', 'Zonas comunes': '', 'Del sector': 'Cerca centros comerciales Cerca colegios / universidades Cerca parques Cerca supermercados Cerca transporte público Sobre vía principal '}, '5\nHabitaciones', '2\nBaños', '4\nEstrato']",PROVENZA,Remodelado,119.52 m²,119.52 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-bolarqui-3-habitaciones-2-banos-1-garajes/12693-M4579465,"Apartamento en Venta, Nuevo Sotomayor",Bucaramanga,Apartamento en Venta en Infinity Sky Club Nuevo Sotomayor Cabecera del Llano Bucaramanga Santander Contacto Directo,$515.000.000,"['Valor administración\n$372.000', 'Parqueaderos\n1', {'Interiores': 'Baño auxiliar Calefacción Citófonos Cocina tipo americano Comedor auxiliar Hall de alcobas Sauna / turco Vigilancia Zona de lavandería Piso 10 Deposito 1 ', 'Exteriores': 'Baño auxiliar Ascensor Baños de servicio Circuito cerrado de TV Parqueadero visitantes Piscina Con terraza Vista panorámica Conjunto cerrado Portería Terraza/Balcón balcón ', 'Zonas comunes': 'Ascensor  Cancha(s) de basket Cancha(s) de fútbol Gimnasio Jaula de golf Salón comunal Zona de BBQ Zona para niños Zonas verdes ', 'Del sector': 'Cerca colegios / universidades Cerca parques Cerca transporte público Sobre vía principal Zona residencial '}, '3\nHabitaciones', '2\nBaños', '4\nEstrato']",Nuevo Sotomayor,Entre 0 y 5 años,113 m²,113 m²
https://www.metrocuadrado.com/inmueble/venta-casa-bucaramanga-lagos-del-cacique-5-habitaciones-4-banos-3-garajes/10159-M4572576,"Casa en Venta, Lagos Del Cacique",Bucaramanga,"Código 694FR6786 Se vende hermosa casa en exclusivo sector de Bucaramanga, barrio Lagos del Cacique, dos pisos y altillo, doscientos noventa y dos metros cuadrados, cuenta con cinco habitaciones y habitación de servicio, tres baños y baño de servicio, sala comedor, living, zona verde interior, cocina amplia, zona de ropas, cancha de squash, piscina, gimnasio, sauna, turco, balcón, terraza, tres parqueaderos privados cubiertos, vigilancia veinticuatro horas. Excelente zona de alta valoración en la ciudad.",$1.300.000.000,"['Valor administración\n$550.000', 'Parqueaderos\n3', {'Interiores': 'Baño auxiliar Alarma Calefacción Chimenea Citófonos Cocina integral Comedor auxiliar Cuarto de servicio Estudio o biblioteca Hall de alcobas Jacuzzi Sauna / turco Vigilancia Zona de lavandería Piso 2 ', 'Exteriores': ' Area lote 292 m² Baños de servicio Circuito cerrado de TV Jardín Parqueadero visitantes Piscina Conjunto cerrado Terraza/Balcón balcón ', 'Zonas comunes': 'Cancha(s) de squash Gimnasio Salón comunal Zona de BBQ ', 'Del sector': 'Zona campestre Zona residencial '}, '5\nHabitaciones', '4\nBaños', '6\nEstrato']",Lagos Del Cacique,Más de 20 años,292 m²,292 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-girardot-3-habitaciones-1-banos-1-garajes/12693-M4579292,"Apartamento en Venta, Girardot",Bucaramanga,Apartamento en Venta en Torre Girardot Bucaramanga Santander Contacto Directo,$160.000.000,"['Valor administración\n$160.000', 'Parqueaderos\n1', {'Interiores': 'Baño auxiliar Citófonos Cocina integral Hall de alcobas Sauna / turco Vigilancia Zona de lavandería Piso 15 ', 'Exteriores': 'Baño auxiliar  Ascensor Baños de servicio Circuito cerrado de TV Parqueadero visitantes Piscina Vista panorámica Conjunto cerrado Portería ', 'Zonas comunes': 'Cancha(s) de fútbol Salón comunal Zona para niños ', 'Del sector': 'Cerca colegios / universidades Cerca parques Cerca transporte público Zona residencial '}, '3\nHabitaciones', '1\nBaños', '3\nEstrato']",Girardot,Entre 5 y 10 años,60 m²,60 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-4-habitaciones-4-banos-2-garajes/12693-M4579487,"Apartamento en Venta, Cabecera Del Llano",Bucaramanga,Penthouse en Venta en Sierra del Llano Cabecera del Llano Bucaramanga Santander Contacto Directo,$980.000.000,"['Valor administración\n$735.000', 'Parqueaderos\n2', {'Interiores': 'Baño auxiliar Citófonos Cocina integral Comedor auxiliar Cuarto de servicio Estudio o biblioteca Hall de alcobas Vigilancia Zona de lavandería Piso 18 Deposito 1 ', 'Exteriores': 'Baño auxiliar Citófonos Ascensor Baños de servicio Circuito cerrado de TV Parqueadero visitantes Piscina Vista panorámica Conjunto cerrado Portería Terraza/Balcón balcón ', 'Zonas comunes': 'Cancha(s) de basket Cancha(s) de fútbol Gimnasio Salón comunal Zona de BBQ Zona para niños Zonas verdes ', 'Del sector': 'Cerca colegios / universidades Cerca parques Cerca transporte público Zona residencial '}, '4\nHabitaciones', '4\nBaños', '6\nEstrato']",Cabecera Del Llano,Entre 10 y 20 años,241 m²,241 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-sotomayor-3-habitaciones-2-banos-1-garajes/10926-M4500948,"Apartamento en Venta, Sotomayor",Bucaramanga,"Este espectacular y amplio apartamento se encuentra ubicado sobre la calle 42 en SOTOMAYOR, a pocos pasos del parque de las palmas y cuenta con un área privada de 100 m2. Tiene 3 alcobas, 2 baño, 1 garaje, hermosos acabados, sonido stereo en la sala y excelente vista panorámica de la ciudad, aire acondicionado, balcón, baño en habitación principal, barra estilo americano, citófono, clósets, cocina integral, gas domiciliario, suelo de cerámica, zona de lavandería. Adicionalmente, también posee unas características externas que lo hacen único, como lo son acceso pavimentado, área social, ascensor, barbacoa parrilla quincho, centros comerciales, garaje, colegios y universidades, parques cercanos, piscina, portería recepción, sobre vía principal, transporte público cercano, urbanización cerrada, vigilancia las 24 horas, vivienda multifamiliar, zona residencial, zonas deportivas, zonas verdes. Una propiedad única con todas las comodidades modernas para satisfacer",$450.000.000,"['Valor administración\n$590.000', 'Parqueaderos\n1', {'Interiores': 'Aire acondicionado Citófonos Cocina integral Vigilancia Zona de lavandería Piso 15 Tipo acabado de piso cerámica ', 'Exteriores': 'Aire acondicionado Citófonos  Ascensor Piscina Vista panorámica Conjunto cerrado Portería Terraza/Balcón balcón ', 'Zonas comunes': ' Salón comunal Zona de BBQ Zonas verdes ', 'Del sector': 'Cerca colegios / universidades Cerca parques Cerca transporte público Sobre vía principal Zona residencial '}, '3\nHabitaciones', '2\nBaños', '5\nEstrato']",Sotomayor,Entre 5 y 10 años,100 m²,100 m²
https://www.metrocuadrado.com/inmueble/venta-apartamento-bucaramanga-granada-3-habitaciones-2-banos-1-garajes/11295-M4412661,"Apartamento en Venta, SAN FRANCISCO",Bucaramanga,"Apartamento con vista al norte, piso intermedio, cuenta con una amplia sala y comedor para recibir a tus visitas con balcón con vista hacia el norte de la ciudad, cocina semi integral con mesones de granito, junto con una zona de ropas. El apartamento tiene dos baños, uno de uso común y otro privado en la habitación principal. Cuenta con tres habitaciones con espacio suficiente para tu familia y amigos. También incluye un parqueadero de uso exclusivo. El conjunto ofrece lobby, vigilancia privada, dos ascensores, gimnasio, salón social, patio de juegos con cancha múltiple y piscina. Se destaca por su tranquilidad y fácil ingreso desde cualquier parte de la ciudad.",$214.000.000,"['Parqueaderos\n1', {'Interiores': 'Parqueadero cubierto Zona de lavandería Piso 12 Vista exterior ', 'Exteriores': 'Parqueadero cubierto Zona de lavandería  Conjunto cerrado ', 'Zonas comunes': '', 'Del sector': ''}, '3\nHabitaciones', '2\nBaños', '2\nEstrato']",SAN FRANCISCO,Entre 5 y 10 años,63 m²,63 m²
